source_id,property_type,price,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,latitude,longitude,municipality,neighborhood,inegi_cve_ageb
MLM-5981595730,casa,8500000.0,246.0,246.0,2,3.0,3.0,19.446956,-99.1871055,Miguel Hidalgo,Lago Norte,0393
MLM-3329691847,casa,6200000.0,126.0,225.0,4,2.0,2.0,19.4545294,-99.1692126,Miguel Hidalgo,Plutarco Elías Calles,0088
MLM-2957293759,departamento,2390000.0,59.0,59.0,2,2.0,1.0,19.4464489,-99.2129947,Miguel Hidalgo,Lomas Hermosa,0425
MLM-6016439864,casa,15500000.0,375.0,236.17,3,2.0,2.0,19.3913552,-99.2436293,Miguel Hidalgo,Lomas De Bezares,1300
MLM-5290907280,casa,39900000.0,678.0,744.0,3,5.0,5.0,19.4210896,-99.2184637,Miguel Hidalgo,Lomas De Chapultepec,0919
MLM-5030338788,casa,29500000.0,715.98,456.0,4,3.0,3.0,19.4031893,-99.2341742,Miguel Hidalgo,Lomas De Reforma,1279
MLM-3216469453,casa,16000000.0,400.0,300.0,4,4.0,4.0,19.4470778,-99.1844176,Miguel Hidalgo,Los Manzanos,0393
MLM-6023232976,departamento,5500000.0,140.0,140.0,2,3.0,3.0,19.4453949,-99.1816725,Miguel Hidalgo,Mariano Escobedo,0482
MLM-5388180708,departamento,3120000.0,69.0,69.0,2,2.0,2.0,19.4556534,-99.17315,Miguel Hidalgo,Nextitla,0088
MLM-2943449611,casa,3190000.0,90.0,65.0,2,2.0,1.0,19.4056364,-99.1935414,Miguel Hidalgo,Observatorio,1137
MLM-3135570099,casa,4490000.0,115.0,135.0,5,2.0,2.0,19.4512364,-99.1969623,Miguel Hidalgo,Pensil Norte,0251
MLM-5042142454,departamento,2820300.0,62.0,62.0,3,2.0,1.0,19.4489842,-99.1867618,Miguel Hidalgo,Peralitos,0270
MLM-2909181559,casa,45000000.0,985.0,750.0,4,5.0,5.0,19.4210896,-99.2184637,Miguel Hidalgo,Lomas De Chapultepec,0919
MLM-5364328030,departamento,2350000.0,65.0,65.0,2,2.0,1.0,19.4485921,-99.1931716,Miguel Hidalgo,Reforma Pensil,1349
MLM-2948786149,casa,16800000.0,650.0,650.0,3,3.0,3.0,19.4312023,-99.2178522,Miguel Hidalgo,Reforma Social,082A
MLM-5445121662,casa,8450000.0,190.0,310.0,4,5.0,5.0,19.4519284,-99.1901766,Miguel Hidalgo,San Juanico,0270
MLM-5731700660,casa,12000000.0,192.0,290.0,5,2.0,2.0,19.4518132,-99.1701506,Miguel Hidalgo,Santo Tomas,0088
MLM-5376889530,casa,7500000.0,150.0,250.0,4,2.0,2.0,19.4008508,-99.187693,Miguel Hidalgo,Tacubaya,1194
MLM-3226645237,casa,7000000.0,222.0,282.0,5,5.0,5.0,19.4405954,-99.1692436,Miguel Hidalgo,Tlaxpana,050A
MLM-5920165878,departamento,4250000.0,,118.0,4,3.0,1.0,19.448471,-99.1691446,Miguel Hidalgo,Un Hogar Para Nosotros,0088
MLM-2865274149,casa,3319000.0,750.0,150.0,2,2.0,1.0,19.2975409,-99.016226,Tláhuac,San Francisco Tlaltenco,0147
MLM-3351216307,casa,8900000.0,196.0,257.0,3,4.0,4.0,19.28471,-99.1505171,Tlalpan,Arenal Tepepan,0977
MLM-6013069308,casa,5900000.0,223.0,223.0,3,3.0,3.0,19.2721884,-99.1653966,Tlalpan,Chimalcoyoc,1157
MLM-5832383720,casa,8990000.0,175.0,260.0,3,3.0,3.0,19.2845286,-99.1323333,Tlalpan,Belisario Domínguez,1000
MLM-2909232819,casa,4800000.0,180.0,180.0,3,2.0,2.0,19.2680853,-99.2129749,Tlalpan,Chimilli,1570
MLM-2907981963,casa,6200000.0,850.0,850.0,5,3.0,3.0,19.2689087,-99.2099933,Tlalpan,Cruz Del Farol,1462
MLM-2776095479,casa,4400000.0,250.0,128.97,3,3.0,1.0,19.2738267,-99.2226372,Tlalpan,Cultura Maya,1443
MLM-3202089007,casa,7780000.0,376.0,242.0,4,4.0,4.0,19.2944727,-99.1431228,Tlalpan,Prado Coapa 3A Sección,0549
MLM-2759441317,casa,9750000.0,360.0,406.0,4,5.0,5.0,19.2666211,-99.1671911,Tlalpan,San Pedro Mártir,1176
MLM-3348526319,casa,6500000.0,250.0,320.0,6,4.0,4.0,19.3007237,-99.1729889,Tlalpan,Isidro Fabela,0159
MLM-3137038013,casa,25000000.0,1498.0,645.0,3,4.0,4.0,19.2310717,-99.1767703,Tlalpan,La Magdalena Petlacalco,1617
MLM-5874380658,casa,20000000.0,410.0,240.0,3,3.0,3.0,19.2771752,-99.1523729,Tlalpan,Las Tórtolas,2121
MLM-5793816046,casa,7143500.0,85.0,281.0,3,3.0,3.0,19.2740837,-99.2151644,Tlalpan,Lomas Hidalgo,1439
MLM-3315589687,casa,6300000.0,200.0,300.0,3,3.0,3.0,19.2718128,-99.2200322,Tlalpan,Mirador I,1481
MLM-3290574679,casa,5200000.0,200.0,350.0,4,4.0,4.0,19.2698553,-99.2237261,Tlalpan,Mirador II,1513
MLM-5205959398,casa,3500000.0,120.0,210.0,3,2.0,2.0,19.2592211,-99.1810535,Tlalpan,Mirador Del Valle,1744
MLM-5927874802,casa,15000000.0,3400.0,3400.0,4,4.0,4.0,19.2876235,-99.1242334,Tlalpan,Narciso Mendoza,0765
MLM-3357610189,casa,2600000.0,251.0,260.0,5,2.0,2.0,19.1331038,-99.1777444,Tlalpan,Parres El Guarda,2460
MLM-5716289716,casa,19500000.0,354.0,321.0,3,3.0,3.0,19.2980675,-99.1825207,Tlalpan,Peña Pobre,1890
